,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,expected_ir,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
0,60,1,blkTestCatAAp,47,2,1900,Avoid,1,1384,Implicit,s.0b1c3f4d-ccd8-4671-9687-1be366cfc60f.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1547,R_1dFwqGbvwWn8y0P,76,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,85142,Other,a6FAVHakYJ,93,1,6.0,3,None,None,None,92,3,6.0,5,None,5,All,2,4,5,1,4,4,4,5,2,3,2,4,5,1,4,3,4,4,2,4,No the instructions were clear and easy to understand ,Interesting  made me even think about myself and my attitudes an characteristics some,0.6,1.0,black,male,8637.0,11113.0,8684.0,8700.0,9509.0,10024.0,7812.0,9789.0,863.7,1111.3,868.4,870.0,950.9,1002.4,781.2,978.9,3.75,4.75,2.75,4.0,1.5
40,160,1,blkTestCatAAp,32,1,1500,Approach,1,519,Implicit,s.49cca79b-513e-413b-acce-a1703819c174.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,785,R_1nVM3CTZXJ6WW8Y,77,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Conservative,6762,Other,xuaEHAVwrn,50,1,4.0,None,2,2,2,50,1,4.0,5,5,5,5,1,3,3,1,4,3,4,4,2,4,3,3,4,2,5,3,4,4,1,5,nothing,,0.6,1.0,white,male,5640.0,6573.0,5679.0,5949.0,6514.0,5715.0,4805.0,6807.0,564.0,657.3,567.9,594.9,651.4,571.5,480.5,680.7,4.5,3.75,2.5,3.5,1.5
80,260,1,blkTestCatAAp,43,2,1200,Avoid,1,828,Implicit,s.81c25330-6436-4306-bbd7-471aaea50c85.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,890,R_2zLK3SWZBfAx5yS,59,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,88260,Other,YFSQeXrF8m,85,1,7.0,None,None,2,None,88,1,6.0,4,None,All,All,1,3,4,1,1,3,3,5,1,2,2,3,4,2,3,2,3,4,2,3,nothing,none,0.6,1.0,white,female,6963.0,6300.0,6499.0,6759.0,6282.0,6571.0,7180.0,6488.0,696.3,630.0,649.9,675.9,628.2,657.1,718.0,648.8,2.25,4.25,2.0,3.0,1.5
120,360,1,blkTestCatAAp,63,2,1500,Avoid,1,1224,Implicit,s.f3072d69-b0f5-4b90-977d-680c973f6e05.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1420,R_e3vvdYRZq11kJXP,64,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,8403,Other,L9fe7kbwgh,58,3,6.0,All,All,All,All,63,3,6.0,All,All,All,All,3,5,3,1,5,4,5,3,2,5,5,5,3,3,5,3,4,5,1,5,All was easy to navigate...,none,0.6,1.0,black,female,10973.0,10573.0,11614.0,11255.0,11508.0,10690.0,11079.0,11138.0,1097.3,1057.3,1161.4,1125.5,1150.8,1069.0,1107.9,1113.8,5.0,3.5,3.75,4.75,1.75
160,460,1,blkTestCatAAp,51,2,800,Avoid,1,5188,Implicit,s.ef20a48c-bf23-46cb-83f8-1459d61570d1.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1084,R_pF3uBNUGzpQiksp,60,Female,Female,Black or African American alone,Absolutely not true,Liberal,30021,Education,ADjwh3evbq,100,1,7.0,All,All,All,All,18,6,3.0,3,2,3,None,3,4,5,5,1,1,4,5,1,3,3,3,5,2,3,3,5,5,3,5,no,no,0.6,0.95,black,male,8554.0,11964.0,8043.0,9346.0,9255.0,13356.0,7342.0,7954.0,855.4,1329.3333333333333,893.6666666666666,934.6,1028.3333333333333,1335.6,734.2,883.7777777777778,3.0,5.0,2.5,4.0,2.75
198,560,1,blkTestCatAAp,44,1,1800,Approach,1,686,Implicit,s.56c67ec6-7981-4ecd-a924-a3b3335d3eb4.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1154,R_3j2Li5qrblM700S,34,Female,Female,Black or African American alone,Absolutely not true,Moderate,19143,Education,qZK3assOcU,86,2,6.0,All,5,5,3,61,5,5.0,5,5,4,4,3,4,3,3,4,4,4,2,3,4,4,5,4,3,4,2,4,3,4,5,,,0.6,0.925,white,female,5647.0,7823.0,6524.0,6660.0,5407.0,5595.0,6764.0,8888.0,627.4444444444445,782.3,652.4,832.5,600.7777777777778,699.375,676.4,888.8,4.25,3.0,3.25,4.25,3.25
235,660,1,blkTestCatAAp,63,2,800,Avoid,1,4360,Implicit,s.aca9ba57-8885-4afc-9f5a-044194566f6b.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1439,R_3hnYBFPqDFm5Oha,69,Female,Female,Black or African American alone,Absolutely not true,Moderate,48223,Other,LPnrOq2jqS,96,4,6.0,5,4,5,None,40,5,,None,2,None,None,1,4,5,3,4,3,4,4,3,3,3,4,5,3,3,3,4,4,3,4,Yes,The first questions regarding the thermometer were confusing and lacked clarity.,0.6,1.0,black,female,6276.0,6700.0,8620.0,9692.0,7178.0,10096.0,7718.0,6296.0,627.6,670.0,862.0,969.2,717.8,1009.6,771.8,629.6,3.5,4.5,2.5,4.0,3.0
275,760,1,blkTestCatAAp,60,1,1400,Approach,1,604,Implicit,s.a27a9fbe-ce4d-45af-b746-008229fd654d.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,930,R_3qdsc38QjGmlylI,26,Gender Variant-Non-Conforming,Female,Black or African American alone,Absolutely not true,Strongly liberal,11216,Entertainment,fxHFQdBcD8,100,3,7.0,All,All,All,None,51,5,5.0,All,All,All,None,3,5,2,4,5,3,2,2,2,5,5,3,4,4,4,4,5,5,4,5,Just the wording of the positive vs negative interaction between Black people and White people was a little fuzzy. Maybe a different measuring scale perhaps?,"The game was fun, I was getting really competitive by the end lol",0.6,1.0,black,female,5601.0,6072.0,6257.0,6525.0,5530.0,6367.0,6328.0,6230.0,560.1,607.2,625.7,652.5,553.0,636.7,632.8,623.0,4.75,3.25,3.75,3.75,3.5
315,860,1,blkTestCatAAp,56,1,1600,Approach,1,493,Implicit,s.0bdf45e8-577b-4733-a89a-1f02a7fdbbce.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1151,R_p9mG3MvkCnWtuI9,74,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly conservative,78640,Other,eMk422LdPh,100,1,7.0,All,All,All,All,100,1,7.0,All,All,All,All,3,4,4,3,5,4,4,5,2,4,4,4,4,4,4,4,4,5,3,5,No! ,"It was interesting, socially & ethically.",0.6,0.9,black,female,6886.0,4424.0,5690.0,6157.0,6157.0,4687.0,6419.0,5894.0,688.6,553.0,632.2222222222222,684.1111111111111,615.7,520.7777777777778,713.2222222222222,736.75,4.5,4.5,3.75,4.0,3.0
351,960,1,blkTestCatAAp,62,1,1600,Approach,1,1036,Implicit,s.e87c68d6-2d03-42c7-8475-2801d712244d.txt,Faces_ImplicitWB_ApproachBlueRed,Dr.Dre,Dr.Dre2,1655,R_2w4E9Ak3AEGk1BR,72,Male,Male,"White alone, not Hispanic or Latino",Absolutely not true,Strongly liberal,76502,Other,wnuqHHRecB,100,2,7.0,All,All,All,None,100,2,7.0,All,All,All,All,2,4,5,1,3,2,4,4,3,4,3,4,5,1,4,1,4,3,4,3,I understood what was happening in the study.,"The task of changing red and blue directions, I believe I got confused in the middle of the second half for a few seconds.",0.6,0.925,black,female,14085.0,12307.0,8850.0,13189.0,10153.0,12428.0,12782.0,13068.0,1408.5,1230.7,1264.2857142857142,1318.9,1269.125,1242.8,1420.2222222222222,1306.8,3.5,4.25,2.0,4.0,2.25
