,Unnamed: 0,block_order,block_name,stimuli,valence,random_fixation,movement,accuracy,response_time,ImpVsExp,participant,Group,Race,Gender,Duration (in seconds),ResponseId,Age,CurrentGender,Sex,RaceEthnicity,Check1_1,Political_1,Zip,Occupations,PSYID,FTBlack_1,VCNegBlack_1,VCPosBlack_1,ECBlack_Neighbors,ECBlack_WorkColleagues,ECBlack_CloseFriends,ECBlack_Married,FTWhite_1,VCNegWhite_1,VCPosWhite_1,ECWhite_Neighbors,ECWhite_WorkColleagues,ECWhite_CloseFriends,ECWhite_Married,MiniIPI_1_1,MiniIPI_1_2,MiniIPI_1_3,MiniIPI_1_4,MiniIPI_1_5,MiniIPI_2_1,MiniIPI_2_2,MiniIPI_2_3,MiniIPI_2_4,MiniIPI_2_5,MiniIPI_3_1,MiniIPI_3_2,MiniIPI_3_3,MiniIPI_3_4,MiniIPI_3_5,MiniIPI_4_1,MiniIPI_4_2,MiniIPI_4_3,MiniIPI_4_4,MiniIPI_4_5,Unclear,Comments ,reindex,accuracy_total,race,gender,Total RT Approach Male,Total RT Avoid Male,Total RT Approach Female,Total RT Avoid Female,Total RT Approach Black,Total RT Avoid Black,Total RT Approach White,Total RT Avoid White,Avg Total RT Approach Male,Avg Total RT Avoid Male,Avg Total RT Approach Female,Avg Total RT Avoid Female,Avg Total RT Approach Black,Avg Total RT Avoid Black,Avg Total RT Approach White,Avg Total RT Avoid White,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
0,10,1,blkTestCatAAp,40,1,1200,Avoid,1,653,Implicit,s.988f1544-1048-4c13-91dd-496141c856c4.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1165,R_3G9W51Xp7lMvSzw,58,Female,Female,"White alone, not Hispanic or Latino",Absolutely not true,Moderate,47441,Other,EKUZFPvyyJ,51,4,6.0,None,3,3,3,50,4,6.0,All,All,4,All,3,4,3,4,4,2,3,4,3,4,4,3,4,2,4,3,4,4,3,4,no,no,,1.0,white,female,8911.0,7209.0,8926.0,7062.0,8770.0,7053.0,9067.0,7218.0,891.1,720.9,892.6,706.2,877.0,705.3,906.7,721.8,4.0,3.75,3.0,3.5,3.0
40,110,1,blkTestCatAAp,61,2,1900,Approach,1,6601,Implicit,s.591e1c29-2fec-4210-8098-5b0f27f29bf4.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1696,R_CgBv5rBId1oMXyV,60,Female,Female,Black or African American alone,Absolutely not true,Moderate,60302,Other,DczpgNUmtT,51,1,6.0,4,4,4,4,50,2,6.0,4,4,4,2,4,3,4,2,3,4,3,4,4,3,5,3,3,2,3,4,4,5,2,5,"No, i found everything to be very interesting in it's degree in questing.","at this point, no.  I'm extremely satisfied with my answers.",,1.0,black,female,11282.0,14158.0,16670.0,11940.0,15590.0,11925.0,12362.0,14173.0,1128.2,1415.8,1667.0,1194.0,1559.0,1192.5,1236.2,1417.3,3.5,4.0,4.25,3.25,2.5
80,210,1,blkTestCatAAp,34,1,1900,Avoid,1,1262,Implicit,s.98d8eba3-f799-4f82-8823-e828de9cf90a.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1315,R_2dnDawnNRjsrhLb,46,Female,Female,Black or African American alone,Absolutely not true,Strongly conservative,19050,Health care,gMtLytSzHK,72,3,5.0,4,5,4,5,32,3,5.0,2,2,2,None,4,3,4,4,5,3,2,3,2,2,4,3,4,4,3,2,1,3,2,4,No,No,,0.825,white,male,8353.0,8124.0,10419.0,8924.0,11157.0,7196.0,7615.0,9852.0,835.3,1015.5,1302.375,1274.857142857143,1115.7,1028.0,951.875,1231.5,3.5,3.5,3.25,2.25,3.0
113,310,1,blkTestCatAAp,47,2,1000,Approach,1,1895,Implicit,s.255414e6-d002-46db-b004-7b1d39cb76b1.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1767,R_339HaThF5lugnn7,59,Female,Female,Black or African American alone,Absolutely not true,Liberal,20772,Other,XCqePKBgMR,80,5,7.0,5,None,5,5,71,4,6.0,3,None,2,None,4,5,5,2,3,5,5,5,2,4,5,4,4,3,4,4,5,5,3,4,No,No,,1.0,black,male,8476.0,6725.0,7044.0,7569.0,7908.0,6943.0,7612.0,7351.0,847.6,672.5,704.4,756.9,790.8,694.3,761.2,735.1,3.75,4.75,4.5,4.75,2.5
153,410,1,blkTestCatAAp,49,2,1300,Approach,1,415,Implicit,s.9924f796-7a7a-42b4-a09a-7c0197342e9a.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,595,R_1N5iZMGOyattFnn,43,Male,Male,Black or African American alone,Absolutely not true,Moderate,48213,Other,LUMY5hvRjv,43,5,3.0,5,3,4,2,98,3,7.0,2,4,3,2,1,1,4,1,3,2,1,5,1,3,1,1,4,1,4,2,1,5,2,3,no,no,,1.0,black,male,5610.0,5669.0,5285.0,5779.0,5552.0,5717.0,5343.0,5731.0,561.0,566.9,528.5,577.9,555.2,571.7,534.3,573.1,3.25,4.5,1.5,1.0,1.25
193,510,1,blkTestCatAAp,48,1,1300,Avoid,1,1369,Implicit,s.ea172b54-8276-49ed-90d2-1fb616545519.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,2049,R_86NwUBEUreGJrVf,56,Female,Female,Black or African American alone,Absolutely not true,Liberal,78218,Prefer not to say,T7NEUvFYWN,100,4,5.0,5,All,5,5,90,4,5.0,All,All,All,All,1,4,2,2,4,2,4,2,3,4,3,3,3,2,4,4,4,3,4,4,The exercise mentioned no longer seeing results from the exercises; I never saw any.,I'm curious about its objective.,,0.975,black,male,9501.0,9194.0,10103.0,8733.0,9178.0,8686.0,10426.0,9241.0,950.1,919.4,1122.5555555555557,873.3,1019.7777777777778,868.6,1042.6,924.1,4.0,2.5,2.5,3.75,2.75
232,612,1,blkTestCatAAp,32,1,1900,Avoid,1,972,Implicit,s.f776ca2f-f24f-49e7-84a5-af3e9212485a.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1165,R_29m3dELY9Fno5Le,60,Male,Male,Black or African American alone,Absolutely not true,Strongly liberal,95670,Information services,2QLkpcQMvh,100,2,7.0,4,2,All,All,100,5,6.0,4,5,4,2,3,4,5,1,4,4,2,4,1,5,4,3,4,1,5,3,4,5,2,4,"yes, could have explained the interaction /w white people question better",Nope.,,0.925,white,male,6199.0,6161.0,6267.0,5855.0,5736.0,6529.0,6730.0,5487.0,619.9,684.5555555555555,696.3333333333334,650.5555555555555,637.3333333333334,652.9,673.0,685.875,4.5,4.5,3.5,3.25,1.25
269,710,1,blkTestCatAAp,54,1,2000,Avoid,1,1836,Implicit,s.ac6a5618-3e8a-4eb0-accf-4985f6a54f63.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,1153,R_1H6GYC31rmdXGRA,56,Female,Female,Black or African American alone,Absolutely not true,Liberal,21075,Other,FGBzGJ468y,65,3,4.0,4,4,2,2,50,5,3.0,4,4,None,None,1,4,4,2,3,2,4,4,2,4,1,4,3,4,4,2,2,5,5,4,No,No,,1.0,black,male,6904.0,9155.0,8185.0,7900.0,7285.0,8476.0,7804.0,8579.0,690.4,915.5,818.5,790.0,728.5,847.6,780.4,857.9,3.75,4.0,1.5,3.5,3.25
309,810,1,blkTestCatAAp,53,2,2000,Approach,1,971,Implicit,s.f0030f9f-9662-4080-8ee5-79922210e684.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,935,R_3g60znotdcLRBEl,45,Female,Female,Black or African American alone,Absolutely not true,Slightly conservative,30043,Health care,BXrVWSA7B2,71,4,6.0,5,5,5,2,70,3,5.0,5,5,5,5,4,5,4,3,5,4,4,3,3,5,5,5,4,2,5,4,4,3,4,5,No.,"Because I have a limited understanding of how the excersize works, I have difficulties finding any meaningful comments to make. Thanks for the opportunity.",,0.975,black,male,6136.0,4389.0,4432.0,5499.0,4950.0,4507.0,5618.0,5381.0,613.6,438.9,492.44444444444446,549.9,550.0,450.7,561.8,538.1,5.0,3.5,4.25,4.5,3.0
348,910,1,blkTestCatAAp,46,1,1600,Avoid,1,1360,Implicit,s.2176989a-18b8-401e-9b2d-75d94c33a196.txt,Names_ImplicitWB_ApproachRedBlue,Dr.Dre,Dr.Dre2,890,R_2s15NtD7zvQy3MF,61,Male,Male,Black or African American alone,Absolutely not true,Moderate,10014,Entertainment,OgvPt6raJt,92,3,7.0,5,5,5,None,92,3,6.0,5,5,5,None,4,4,2,4,5,5,4,2,2,4,5,4,4,3,4,5,5,4,2,5,No,No - Thank You though. This made me think quite a bit.,,0.95,black,male,11099.0,10366.0,9538.0,10664.0,11003.0,9495.0,9634.0,11535.0,1109.9,1151.7777777777778,1059.7777777777778,1066.4,1100.3,1055.0,1070.4444444444443,1153.5,4.5,3.0,4.75,4.25,2.75
